date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:57	421252/421252	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2014:30:40%20GMT	https://wp.alithemes.com/html/nest/demo/index.html	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/index.html	(from )
03:04:58	441/441	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Oct%202023%2003:05:06%20GMT	https://wp.alithemes.com/robots.txt		(from )
03:04:59	9540/9540	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Jun%202021%2020:29:00%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/theme/favicon.svg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/theme/favicon.svg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:04:59	71750/71750	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Apr%202022%2015:41:10%20GMT	https://wp.alithemes.com/html/nest/demo/assets/css/plugins/animate.min.css	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/css/plugins/animate.min.css	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:00	234166/234166	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2014:46:18%20GMT	https://wp.alithemes.com/html/nest/demo/assets/css/main.css?v=5.6	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/css/main2cc5.css	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:02	133759/133759	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2014:30:40%20GMT	https://wp.alithemes.com/html/nest/demo/shop-product-right.html	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/shop-product-right.html	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:03	162964/162964	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2014:30:40%20GMT	https://wp.alithemes.com/html/nest/demo/shop-grid-right.html	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/shop-grid-right.html	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:03	74882/74882	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-2.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-2.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:03	59168/59168	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-1.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-1.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:03	71574/71574	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-3.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-3.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:03	87131/87131	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-4.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-4.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:03	59849/59849	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-5.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-5.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:04	91691/91691	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-6.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-6.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:04	100953/100953	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-7.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/product-16-7.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:04	15751/15751	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-3.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-3.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:04	16846/16846	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-4.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-4.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:04	24938/24938	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-5.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-5.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:05	63412/63412	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-6.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-6.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:05	25444/25444	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-7.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-7.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:05	31455/31455	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-8.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-8.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:05	24062/24062	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2013:53:08%20GMT	https://wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-9.jpg	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/assets/imgs/shop/thumbnail-9.jpg	(from https://wp.alithemes.com/html/nest/demo/index.html)
03:05:06	708/708	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Oct%202023%2003:05:13%20GMT	https://wp.alithemes.com/html/nest/demo/page-about.htlm	F:/atoi/atoi/wp.alithemes.com/html/nest/demo/page-about.htlm	(from https://wp.alithemes.com/html/nest/demo/index.html)
